% time	cellId	IMSI	RNTI	rsrp	sinr
0.150214	2	2	1	7.16323e-14	3.30122
0.151214	1	1	1	2.12244e-14	0.294347
0.151214	2	2	1	7.16323e-14	3.30122
0.152214	1	1	1	2.12244e-14	0.294347
0.152214	2	2	1	7.16323e-14	3.30122
0.153214	1	1	1	2.12244e-14	0.294347
0.153214	2	2	1	7.16323e-14	3.30122
0.154214	1	1	1	2.12244e-14	0.294347
0.154214	2	2	1	7.16323e-14	3.30122
0.155214	1	1	1	2.12244e-14	0.294347
0.155214	2	2	1	7.16323e-14	3.30122
0.156214	1	1	1	2.12244e-14	0.294347
0.156214	2	2	1	7.16323e-14	3.30122
0.157214	1	1	1	2.12244e-14	0.294347
0.157214	2	2	1	7.16323e-14	3.30122
0.158214	1	1	1	2.12244e-14	0.294347
0.158214	2	2	1	7.16323e-14	3.30122
0.159214	1	1	1	2.12244e-14	0.294347
0.159214	2	2	1	7.16323e-14	3.30122
0.160214	1	1	1	2.12244e-14	0.294347
0.160214	2	2	1	7.16323e-14	3.30122
0.161214	1	1	1	2.12244e-14	0.294347
0.161214	2	2	1	7.16323e-14	3.30122
0.162214	1	1	1	2.12244e-14	0.294347
0.162214	2	2	1	7.16323e-14	3.30122
0.163214	1	1	1	2.12244e-14	0.294347
0.163214	2	2	1	7.16323e-14	3.30122
0.164214	1	1	1	2.12244e-14	0.294347
0.164214	2	2	1	7.16323e-14	3.30122
0.165214	1	1	1	2.12244e-14	0.294347
0.165214	2	2	1	7.16323e-14	3.30122
0.166214	1	1	1	2.12244e-14	0.294347
0.166214	2	2	1	7.16323e-14	3.30122
0.167214	1	1	1	2.12244e-14	0.294347
0.167214	2	2	1	7.16323e-14	3.30122
0.168214	1	1	1	2.12244e-14	0.294347
0.168214	2	2	1	7.16323e-14	3.30122
0.169214	1	1	1	2.12244e-14	0.294347
0.169214	2	2	1	7.16323e-14	3.30122
0.170214	1	1	1	2.12244e-14	0.294347
0.170214	2	2	1	7.16323e-14	3.30122
0.171214	1	1	1	2.12244e-14	0.294347
0.171214	2	2	1	7.16323e-14	3.30122
0.172214	1	1	1	2.12244e-14	0.294347
0.172214	2	2	1	7.16323e-14	3.30122
0.173214	1	1	1	2.12244e-14	0.294347
0.173214	2	2	1	7.16323e-14	3.30122
0.174214	1	1	1	2.12244e-14	0.294347
0.174214	2	2	1	7.16323e-14	3.30122
0.175214	1	1	1	2.12244e-14	0.294347
0.175214	2	2	1	7.16323e-14	3.30122
0.176214	1	1	1	2.12244e-14	44.7449
0.176214	2	2	1	7.16323e-14	151.014
0.177214	1	1	1	2.12244e-14	0.294347
0.177214	2	2	1	7.16323e-14	3.30122
0.178214	1	1	1	2.12244e-14	0.294347
0.178214	2	2	1	7.16323e-14	3.30122
0.179214	1	1	1	2.12244e-14	0.294347
0.179214	2	2	1	7.16323e-14	3.30122
0.180214	1	1	1	2.12244e-14	0.294347
0.180214	2	2	1	7.16323e-14	3.30122
0.181214	1	1	1	2.12244e-14	0.294347
0.181214	2	2	1	7.16323e-14	3.30122
0.182214	1	1	1	2.12244e-14	0.294347
0.182214	2	2	1	7.16323e-14	3.30122
0.183214	1	1	1	2.12244e-14	0.294347
0.183214	2	2	1	7.16323e-14	3.30122
0.184214	1	1	1	2.12244e-14	0.294347
0.184214	2	2	1	7.16323e-14	3.30122
0.185214	1	1	1	2.12244e-14	0.294347
0.185214	2	2	1	7.16323e-14	3.30122
0.186214	1	1	1	2.12244e-14	0.294347
0.186214	2	2	1	7.16323e-14	3.30122
0.187214	1	1	1	2.12244e-14	0.294347
0.187214	2	2	1	7.16323e-14	3.30122
0.188214	1	1	1	2.12244e-14	0.294347
0.188214	2	2	1	7.16323e-14	3.30122
0.189214	1	1	1	2.12244e-14	0.294347
0.189214	2	2	1	7.16323e-14	3.30122
0.190214	1	1	1	2.12244e-14	0.294347
0.190214	2	2	1	7.16323e-14	3.30122
0.191214	1	1	1	2.12244e-14	0.294347
0.191214	2	2	1	7.16323e-14	3.30122
0.192214	1	1	1	2.12244e-14	44.7449
0.192214	2	2	1	7.16323e-14	151.014
0.193214	1	1	1	2.12244e-14	0.294347
0.193214	2	2	1	7.16323e-14	3.30122
0.194214	1	1	1	2.12244e-14	44.7449
0.194214	2	2	1	7.16323e-14	151.014
0.195214	1	1	1	2.12244e-14	0.294347
0.195214	2	2	1	7.16323e-14	3.30122
0.196214	1	1	1	2.12244e-14	0.294347
0.196214	2	2	1	7.16323e-14	3.30122
0.197214	1	1	1	2.12244e-14	0.294347
0.197214	2	2	1	7.16323e-14	3.30122
0.198214	1	1	1	2.12244e-14	0.294347
0.198214	2	2	1	7.16323e-14	3.30122
0.199214	1	1	1	2.12244e-14	0.294347
0.199214	2	2	1	7.16323e-14	3.30122
0.200214	1	1	1	2.12244e-14	0.294347
0.200214	2	2	1	7.16323e-14	3.30122
0.201214	1	1	1	2.12244e-14	0.294347
0.201214	2	2	1	7.16323e-14	3.30122
0.202214	1	1	1	2.12244e-14	0.294347
0.202214	2	2	1	7.16323e-14	3.30122
0.203214	1	1	1	2.12244e-14	0.294347
0.203214	2	2	1	7.16323e-14	3.30122
0.204214	1	1	1	2.12244e-14	0.294347
0.204214	2	2	1	7.16323e-14	3.30122
0.205214	1	1	1	2.12244e-14	0.294347
0.205214	2	2	1	7.16323e-14	3.30122
0.206214	1	1	1	2.12244e-14	0.294347
0.206214	2	2	1	7.16323e-14	3.30122
0.207214	1	1	1	2.12244e-14	0.294347
0.207214	2	2	1	7.16323e-14	3.30122
0.208214	1	1	1	2.12244e-14	0.294347
0.208214	2	2	1	7.16323e-14	3.30122
0.209214	1	1	1	2.12244e-14	44.7449
0.209214	2	2	1	7.16323e-14	151.014
0.210214	1	1	1	2.12244e-14	44.7449
0.210214	2	2	1	7.16323e-14	151.014
0.211214	1	1	1	2.12244e-14	0.294347
0.211214	2	2	1	7.16323e-14	3.30122
0.212214	1	1	1	2.12244e-14	0.294347
0.212214	2	2	1	7.16323e-14	3.30122
0.213214	1	1	1	2.12244e-14	0.294347
0.213214	2	2	1	7.16323e-14	3.30122
0.214214	1	1	1	2.12244e-14	0.294347
0.214214	2	2	1	7.16323e-14	3.30122
0.215214	1	1	1	2.12244e-14	0.294347
0.215214	2	2	1	7.16323e-14	3.30122
0.216214	1	1	1	2.12244e-14	0.294347
0.216214	2	2	1	7.16323e-14	3.30122
0.217214	1	1	1	2.12244e-14	0.294347
0.217214	2	2	1	7.16323e-14	3.30122
0.218214	1	1	1	2.12244e-14	0.294347
0.218214	2	2	1	7.16323e-14	3.30122
0.219214	1	1	1	2.12244e-14	0.294347
0.219214	2	2	1	7.16323e-14	3.30122
0.220214	1	1	1	2.12244e-14	0.294347
0.220214	2	2	1	7.16323e-14	3.30122
0.221214	1	1	1	2.12244e-14	0.294347
0.221214	2	2	1	7.16323e-14	3.30122
0.222214	1	1	1	2.12244e-14	0.294347
0.222214	2	2	1	7.16323e-14	3.30122
0.223214	1	1	1	2.12244e-14	0.294347
0.223214	2	2	1	7.16323e-14	3.30122
0.224214	1	1	1	2.12244e-14	0.294347
0.224214	2	2	1	7.16323e-14	3.30122
0.225214	1	1	1	2.12244e-14	0.294347
0.225214	2	2	1	7.16323e-14	3.30122
0.226214	1	1	1	2.12244e-14	0.294347
0.226214	2	2	1	7.16323e-14	3.30122
0.227214	1	1	1	2.12244e-14	0.294347
0.227214	2	2	1	7.16323e-14	3.30122
0.228214	1	1	1	2.12244e-14	0.294347
0.228214	2	2	1	7.16323e-14	3.30122
0.229214	1	1	1	2.12244e-14	0.294347
0.229214	2	2	1	7.16323e-14	3.30122
0.230214	1	1	1	2.12244e-14	0.294347
0.230214	2	2	1	7.16323e-14	3.30122
0.231214	1	1	1	2.12244e-14	0.294347
0.231214	2	2	1	7.16323e-14	3.30122
0.232214	1	1	1	2.12244e-14	0.294347
0.232214	2	2	1	7.16323e-14	3.30122
0.233214	1	1	1	2.12244e-14	0.294347
0.233214	2	2	1	7.16323e-14	3.30122
0.234214	1	1	1	2.12244e-14	0.294347
0.234214	2	2	1	7.16323e-14	3.30122
0.235214	1	1	1	2.12244e-14	0.294347
0.235214	2	2	1	7.16323e-14	3.30122
0.236214	1	1	1	2.12244e-14	0.294347
0.236214	2	2	1	7.16323e-14	3.30122
0.237214	1	1	1	2.12244e-14	0.294347
0.237214	2	2	1	7.16323e-14	3.30122
0.238214	1	1	1	2.12244e-14	0.294347
0.238214	2	2	1	7.16323e-14	3.30122
0.239214	1	1	1	2.12244e-14	0.294347
0.239214	2	2	1	7.16323e-14	3.30122
0.240214	1	1	1	2.12244e-14	0.294347
0.240214	2	2	1	7.16323e-14	3.30122
0.241214	1	1	1	2.12244e-14	0.294347
0.241214	2	2	1	7.16323e-14	3.30122
0.242214	1	1	1	2.12244e-14	0.294347
0.242214	2	2	1	7.16323e-14	3.30122
0.243214	1	1	1	2.12244e-14	0.294347
0.243214	2	2	1	7.16323e-14	3.30122
0.244214	1	1	1	2.12244e-14	0.294347
0.244214	2	2	1	7.16323e-14	3.30122
0.245214	1	1	1	2.12244e-14	0.294347
0.245214	2	2	1	7.16323e-14	3.30122
0.246214	1	1	1	2.12244e-14	0.294347
0.246214	2	2	1	7.16323e-14	3.30122
0.247214	1	1	1	2.12244e-14	0.294347
0.247214	2	2	1	7.16323e-14	3.30122
0.248214	1	1	1	2.12244e-14	0.294347
0.248214	2	2	1	7.16323e-14	3.30122
0.249214	1	1	1	2.12244e-14	0.294347
0.249214	2	2	1	7.16323e-14	3.30122
0.250214	1	1	1	2.12244e-14	0.294347
0.250214	2	2	1	7.16323e-14	3.30122
0.251214	1	1	1	2.12244e-14	0.294347
0.251214	2	2	1	7.16323e-14	3.30122
0.252214	1	1	1	2.12244e-14	0.294347
0.252214	2	2	1	7.16323e-14	3.30122
0.253214	1	1	1	2.12244e-14	0.294347
0.253214	2	2	1	7.16323e-14	3.30122
0.254214	1	1	1	2.12244e-14	0.294347
0.254214	2	2	1	7.16323e-14	3.30122
0.255214	1	1	1	2.12244e-14	0.294347
0.255214	2	2	1	7.16323e-14	3.30122
0.256214	1	1	1	2.12244e-14	0.294347
0.256214	2	2	1	7.16323e-14	3.30122
0.257214	1	1	1	2.12244e-14	0.294347
0.257214	2	2	1	7.16323e-14	3.30122
0.258214	1	1	1	2.12244e-14	0.294347
0.258214	2	2	1	7.16323e-14	3.30122
0.259214	1	1	1	2.12244e-14	0.294347
0.259214	2	2	1	7.16323e-14	3.30122
0.260214	1	1	1	2.12244e-14	0.294347
0.260214	2	2	1	7.16323e-14	3.30122
0.261214	1	1	1	2.12244e-14	0.294347
0.261214	2	2	1	7.16323e-14	3.30122
0.262214	1	1	1	2.12244e-14	0.294347
0.262214	2	2	1	7.16323e-14	3.30122
0.263214	1	1	1	2.12244e-14	0.294347
